ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Morpheme_Index
Khispi-3_2plincl-1-2,Khispi-3_2plincl-1,nal+tʰe,3,false,expert,,l,,,2
Khispi-3_2plincl-1-3,Khispi-3_2plincl-1,nal+tʰe,4,false,expert,,tʰ e -,,,3
Duhumbi-3_2plincl-1-1,Duhumbi-3_2plincl-1,naɹ+tʰeˀ,5,false,expert,,n a,,,1
Duhumbi-3_2plincl-1-2,Duhumbi-3_2plincl-1,naɹ+tʰeˀ,3,false,expert,,ɹ,,,2
Duhumbi-3_2plincl-1-3,Duhumbi-3_2plincl-1,naɹ+tʰeˀ,4,false,expert,,tʰ eˀ -,,,3
Khoina-3_2plincl-1-1,Khoina-3_2plincl-1,na+tʰik,5,false,expert,,n a,,,1
Khoina-3_2plincl-1-2,Khoina-3_2plincl-1,na+tʰik,4,false,expert,,tʰ i k,,,2
Jerigaon-3_2plincl-1-1,Jerigaon-3_2plincl-1,na+tʰik,5,false,expert,,n a,,,1
Jerigaon-3_2plincl-1-2,Jerigaon-3_2plincl-1,na+tʰik,4,false,expert,,tʰ i k,,,2
Khoitam-3_2plincl-1-1,Khoitam-3_2plincl-1,na+tʰɛk,5,false,expert,,n a,,,1
Khoitam-3_2plincl-1-2,Khoitam-3_2plincl-1,na+tʰɛk,4,false,expert,,tʰ ɛ k,,,2
Rahung-3_2plincl-1-1,Rahung-3_2plincl-1,na+tʰɛk,5,false,expert,,n a,,,1
Rahung-3_2plincl-1-2,Rahung-3_2plincl-1,na+tʰɛk,4,false,expert,,tʰ ɛ k,,,2
Rupa-3_2plincl-1-1,Rupa-3_2plincl-1,naː+tʰik,5,false,expert,,n aː,,,1
Rupa-3_2plincl-1-2,Rupa-3_2plincl-1,naː+tʰik,4,false,expert,,tʰ i k,,,2
Shergaon-3_2plincl-1-1,Shergaon-3_2plincl-1,naː+tʰik,5,false,expert,,n aː,,,1
Shergaon-3_2plincl-1-2,Shergaon-3_2plincl-1,naː+tʰik,4,false,expert,,tʰ i k,,,2
Khispi-4_2sg-1-1,Khispi-4_2sg-1,naŋ,6,false,expert,,n a ŋ,,,1
Duhumbi-4_2sg-1-1,Duhumbi-4_2sg-1,naŋ,6,false,expert,,n a ŋ,,,1
Khoina-4_2sg-1-1,Khoina-4_2sg-1,naŋ,6,false,expert,,n a ŋ,,,1
Jerigaon-4_2sg-1-1,Jerigaon-4_2sg-1,naŋ,6,false,expert,,n a ŋ,,,1
Khoitam-4_2sg-1-1,Khoitam-4_2sg-1,naŋ,6,false,expert,,n a ŋ,,,1
Rahung-4_2sg-1-1,Rahung-4_2sg-1,naŋ,6,false,expert,,n a ŋ,,,1
Rupa-4_2sg-1-1,Rupa-4_2sg-1,naŋ,6,false,expert,,n a ŋ,,,1
Shergaon-4_2sg-1-1,Shergaon-4_2sg-1,naŋ,6,false,expert,,n a ŋ,,,1
Khispi-5_3sg-1-1,Khispi-5_3sg-1,wuj,7,false,expert,,w ui,,,1
Duhumbi-5_3sg-1-1,Duhumbi-5_3sg-1,wɔj,7,false,expert,,w ɔi,,,1
Khoina-5_3sg-1-1,Khoina-5_3sg-1,laŋ+waː,1191,false,expert,,l a ŋ,,,1
Khoina-5_3sg-1-2,Khoina-5_3sg-1,laŋ+waː,7,false,expert,,w aː,,,2
Jerigaon-5_3sg-1-1,Jerigaon-5_3sg-1,waː,7,false,expert,,w aː,,,1
Khoitam-5_3sg-1-1,Khoitam-5_3sg-1,waː+ʥi,7,false,expert,,w aː,,,1
Khoitam-5_3sg-1-2,Khoitam-5_3sg-1,waː+ʥi,9,false,expert,,dʑ i,,,2
Rahung-5_3sg-1-1,Rahung-5_3sg-1,hɛˀ,8,false,expert,,(h)/h ɛˀ,,,1
Rupa-5_3sg-1-1,Rupa-5_3sg-1,waː,7,false,expert,,w aː,,,1
Shergaon-5_3sg-1-1,Shergaon-5_3sg-1,waː,7,false,expert,,w aː,,,1
Khoina-73_bugun-1-1,Khoina-73_bugun-1,ʂə+luŋ,11,false,expert,,ʂ ə,,,1
Khoina-73_bugun-1-2,Khoina-73_bugun-1,ʂə+luŋ,12,false,expert,,l u ŋ,,,2
Rahung-73_bugun-1-1,Rahung-73_bugun-1,su+luŋ,11,false,expert,,s u,,,1
Rahung-73_bugun-1-2,Rahung-73_bugun-1,su+luŋ,12,false,expert,,l u ŋ,,,2
Rupa-73_bugun-1-1,Rupa-73_bugun-1,sə+luŋ,11,false,expert,,s ə,,,1
Rupa-73_bugun-1-2,Rupa-73_bugun-1,sə+luŋ,12,false,expert,,l u ŋ,,,2
Shergaon-73_bugun-1-1,Shergaon-73_bugun-1,su+luŋ,11,false,expert,,s u,,,1
Shergaon-73_bugun-1-2,Shergaon-73_bugun-1,su+luŋ,12,false,expert,,l u ŋ,,,2
Khispi-250_indoaryanperson-1-1,Khispi-250_indoaryanperson-1,bi+ʨʰa,15,false,expert,,b i,,,1
Khispi-250_indoaryanperson-1-2,Khispi-250_indoaryanperson-1,bi+ʨʰa,13,false,expert,,tɕʰ a,,,2
Duhumbi-250_indoaryanperson-1-1,Duhumbi-250_indoaryanperson-1,bi+ʨʰa,15,false,expert,,b i,,,1
Duhumbi-250_indoaryanperson-1-2,Duhumbi-250_indoaryanperson-1,bi+ʨʰa,13,false,expert,,tɕʰ a,,,2
Khoina-250_indoaryanperson-1-1,Khoina-250_indoaryanperson-1,də+ʨʰuː,16,false,expert,,d ə,,,1
Khoina-250_indoaryanperson-1-2,Khoina-250_indoaryanperson-1,də+ʨʰuː,13,false,expert,,tɕʰ uː,,,2
Khoitam-250_indoaryanperson-1-1,Khoitam-250_indoaryanperson-1,ʨʰə+ʨʰuː,14,false,expert,,tɕʰ ə,,,1
Khoitam-250_indoaryanperson-1-2,Khoitam-250_indoaryanperson-1,ʨʰə+ʨʰuː,13,false,expert,,tɕʰ uː,,,2
Rahung-250_indoaryanperson-1-1,Rahung-250_indoaryanperson-1,ʨʰə+ʨʰuː,14,false,expert,,tɕʰ ə,,,1
Rahung-250_indoaryanperson-1-2,Rahung-250_indoaryanperson-1,ʨʰə+ʨʰuː,13,false,expert,,tɕʰ uː,,,2
Rupa-250_indoaryanperson-1-1,Rupa-250_indoaryanperson-1,nə+ʨʰuː,16,false,expert,,n~d/n ə,,,1
Rupa-250_indoaryanperson-1-2,Rupa-250_indoaryanperson-1,nə+ʨʰuː,13,false,expert,,tɕʰ uː,,,2
Shergaon-250_indoaryanperson-1-1,Shergaon-250_indoaryanperson-1,də+ʨʰuː,16,false,expert,,d ə,,,1
Shergaon-250_indoaryanperson-1-2,Shergaon-250_indoaryanperson-1,də+ʨʰuː,13,false,expert,,tɕʰ uː,,,2
Khoina-256_jerigaonpeople-1-1,Khoina-256_jerigaonpeople-1,də+ʨĩː+ʥi,19,false,expert,,d ə,,,1
Khoina-256_jerigaonpeople-1-2,Khoina-256_jerigaonpeople-1,də+ʨĩː+ʥi,17,false,expert,,tɕ ĩː,,,2
Khoina-256_jerigaonpeople-1-3,Khoina-256_jerigaonpeople-1,də+ʨĩː+ʥi,18,false,expert,,dʑ i,,,3
Jerigaon-256_jerigaonpeople-1-1,Jerigaon-256_jerigaonpeople-1,kʰ+ʨĩː+ʥi,20,false,expert,,kʰ,,,1
Jerigaon-256_jerigaonpeople-1-2,Jerigaon-256_jerigaonpeople-1,kʰ+ʨĩː+ʥi,17,false,expert,,tɕ ĩː,,,2
Jerigaon-256_jerigaonpeople-1-3,Jerigaon-256_jerigaonpeople-1,kʰ+ʨĩː+ʥi,18,false,expert,,dʑ i,,,3
Rupa-256_jerigaonpeople-1-1,Rupa-256_jerigaonpeople-1,di+ʨʰi+ʥi,19,false,expert,,d ə,,,1
Rupa-256_jerigaonpeople-1-2,Rupa-256_jerigaonpeople-1,di+ʨʰi+ʥi,17,false,expert,,tɕ ĩː,,,2
Rupa-256_jerigaonpeople-1-3,Rupa-256_jerigaonpeople-1,di+ʨʰi+ʥi,18,false,expert,,dʑ i,,,3
Duhumbi-256_jerigaonpeople-1-1,Duhumbi-256_jerigaonpeople-1,but+pa,10431,false,expert,,b u t,,,1
Duhumbi-256_jerigaonpeople-1-2,Duhumbi-256_jerigaonpeople-1,but+pa,10432,false,expert,,p a,,,2
Duhumbi-256_jerigaonpeople-2-1,Duhumbi-256_jerigaonpeople-2,but+pa,11141,false,expert,,b u t,,,1
Duhumbi-256_jerigaonpeople-2-2,Duhumbi-256_jerigaonpeople-2,but+pa,11142,false,expert,,p a,,,2
Khispi-259_khoitampeople-1-1,Khispi-259_khoitampeople-1,kʰus+tam+bi,21,false,expert,,kʰ u s,,,1
Khispi-259_khoitampeople-1-2,Khispi-259_khoitampeople-1,kʰus+tam+bi,23,false,expert,,t a m,,,2
Khispi-259_khoitampeople-1-3,Khispi-259_khoitampeople-1,kʰus+tam+bi,18,false,expert,,b i,,,3
Khoina-259_khoitampeople-1-1,Khoina-259_khoitampeople-1,gə+tam+ʥi,21,false,expert,,g ə -,,,1
Khoina-259_khoitampeople-1-2,Khoina-259_khoitampeople-1,gə+tam+ʥi,23,false,expert,,t a m,,,2
Khoina-259_khoitampeople-1-3,Khoina-259_khoitampeople-1,gə+tam+ʥi,18,false,expert,,dʑ i,,,3
Jerigaon-259_khoitampeople-1-1,Jerigaon-259_khoitampeople-1,kʰ+tam+ʥi,21,false,expert,,kʰ - -,,,1
Jerigaon-259_khoitampeople-1-2,Jerigaon-259_khoitampeople-1,kʰ+tam+ʥi,23,false,expert,,t a m,,,2
Jerigaon-259_khoitampeople-1-3,Jerigaon-259_khoitampeople-1,kʰ+tam+ʥi,18,false,expert,,dʑ i,,,3
Rupa-259_khoitampeople-1-1,Rupa-259_khoitampeople-1,gə+tam+ʥi,21,false,expert,,g ə -,,,1
Rupa-259_khoitampeople-1-2,Rupa-259_khoitampeople-1,gə+tam+ʥi,23,false,expert,,t a m,,,2
Rupa-259_khoitampeople-1-3,Rupa-259_khoitampeople-1,gə+tam+ʥi,18,false,expert,,dʑ i,,,3
Shergaon-259_khoitampeople-1-1,Shergaon-259_khoitampeople-1,ka+tam+ʥi,21,false,expert,,k a -,,,1
Shergaon-259_khoitampeople-1-2,Shergaon-259_khoitampeople-1,ka+tam+ʥi,23,false,expert,,t a m,,,2
Shergaon-259_khoitampeople-1-3,Shergaon-259_khoitampeople-1,ka+tam+ʥi,18,false,expert,,dʑ i,,,3
Duhumbi-259_khoitampeople-1-1,Duhumbi-259_khoitampeople-1,kʰɔj+tam+pa,10433,false,expert,,kʰ ɔi,,,1
Duhumbi-259_khoitampeople-1-2,Duhumbi-259_khoitampeople-1,kʰɔj+tam+pa,10434,false,expert,,t a m,,,2
Duhumbi-259_khoitampeople-1-3,Duhumbi-259_khoitampeople-1,kʰɔj+tam+pa,10435,false,expert,,p a,,,3
Duhumbi-259_khoitampeople-2-1,Duhumbi-259_khoitampeople-2,kʰɔj+tam+pa,11143,false,expert,,kʰ ɔi,,,1
Duhumbi-259_khoitampeople-2-2,Duhumbi-259_khoitampeople-2,kʰɔj+tam+pa,11144,false,expert,,t a m,,,2
Duhumbi-259_khoitampeople-2-3,Duhumbi-259_khoitampeople-2,kʰɔj+tam+pa,11145,false,expert,,p a,,,3
Khoina-307_mijipeople-1-1,Khoina-307_mijipeople-1,kʰu+nɔ̃ː,25,false,expert,,kʰ u,,,1
Khoina-307_mijipeople-1-2,Khoina-307_mijipeople-1,kʰu+nɔ̃ː,24,false,expert,,n ɔ̃ː -,,,2
Jerigaon-307_mijipeople-1-1,Jerigaon-307_mijipeople-1,kʰu+nɔ̃ː+ʥi,25,false,expert,,kʰ u,,,1
Jerigaon-307_mijipeople-1-2,Jerigaon-307_mijipeople-1,kʰu+nɔ̃ː+ʥi,24,false,expert,,n ɔ̃ː -,,,2
Jerigaon-307_mijipeople-1-3,Jerigaon-307_mijipeople-1,kʰu+nɔ̃ː+ʥi,26,false,expert,,dʑ i,,,3
Rahung-307_mijipeople-1-1,Rahung-307_mijipeople-1,kʰu+nũː,25,false,expert,,kʰ u,,,1
Rahung-307_mijipeople-1-2,Rahung-307_mijipeople-1,kʰu+nũː,24,false,expert,,n ũː (ŋ)/ŋ,,,2
Rupa-307_mijipeople-1-1,Rupa-307_mijipeople-1,kʰu+nũː,25,false,expert,,kʰ u,,,1
Rupa-307_mijipeople-1-2,Rupa-307_mijipeople-1,kʰu+nũː,24,false,expert,,n ũː -,,,2
Shergaon-307_mijipeople-1-1,Shergaon-307_mijipeople-1,kʰu+nɔ̃ː,25,false,expert,,kʰ u,,,1
Shergaon-307_mijipeople-1-2,Shergaon-307_mijipeople-1,kʰu+nɔ̃ː,24,false,expert,,n ɔ̃ː -,,,2
Khispi-312_monpa-1-1,Khispi-312_monpa-1,mɔn+pa,30,false,expert,,m ɔ n,,,1
Khispi-312_monpa-1-2,Khispi-312_monpa-1,mɔn+pa,28,false,expert,,p a,,,2
Duhumbi-312_monpa-1-1,Duhumbi-312_monpa-1,mɔn+pa,30,false,expert,,m ɔ n,,,1
Duhumbi-312_monpa-1-2,Duhumbi-312_monpa-1,mɔn+pa,28,false,expert,,p a,,,2
Khoina-312_monpa-1-1,Khoina-312_monpa-1,ʥə+mɐ̃ː,29,false,expert,,dʑ ə,,,1
Khoina-312_monpa-1-2,Khoina-312_monpa-1,ʥə+mɐ̃ː,30,false,expert,,m ɐ̃ː -,,,2
Rahung-312_monpa-1-1,Rahung-312_monpa-1,mɔn+pa,30,false,expert,,m ɔ n,,,1
Rahung-312_monpa-1-2,Rahung-312_monpa-1,mɔn+pa,28,false,expert,,p a,,,2
Rupa-312_monpa-1-1,Rupa-312_monpa-1,ʥə+mɔ̃ː,29,false,expert,,dʑ ə,,,1
Rupa-312_monpa-1-2,Rupa-312_monpa-1,ʥə+mɔ̃ː,30,false,expert,,m ɔ̃ː -,,,2
Shergaon-312_monpa-1-1,Shergaon-312_monpa-1,ʥɔ+mɔ̃ː,29,false,expert,,dʑ ɔ,,,1
Shergaon-312_monpa-1-2,Shergaon-312_monpa-1,ʥɔ+mɔ̃ː,30,false,expert,,m ɔ̃ː -,,,2
Khispi-327_namshupeople-1-1,Khispi-327_namshupeople-1,nam+ɕu+pa,33,false,expert,,n a m,,,1
Khispi-327_namshupeople-1-2,Khispi-327_namshupeople-1,nam+ɕu+pa,31,false,expert,,ɕ u,,,2
Khispi-327_namshupeople-1-3,Khispi-327_namshupeople-1,nam+ɕu+pa,32,false,expert,,p a,,,3
Duhumbi-327_namshupeople-1-1,Duhumbi-327_namshupeople-1,nam+ɕu+pa,33,false,expert,,n a m,,,1
Duhumbi-327_namshupeople-1-2,Duhumbi-327_namshupeople-1,nam+ɕu+pa,31,false,expert,,ɕ u,,,2
Duhumbi-327_namshupeople-1-3,Duhumbi-327_namshupeople-1,nam+ɕu+pa,32,false,expert,,p a,,,3
Khoina-327_namshupeople-1-1,Khoina-327_namshupeople-1,na+ʦʰɔː+ʥi,33,false,expert,,n a -,,,1
Khoina-327_namshupeople-1-2,Khoina-327_namshupeople-1,na+ʦʰɔː+ʥi,31,false,expert,,tsʰ ɔː,,,2
Khoina-327_namshupeople-1-3,Khoina-327_namshupeople-1,na+ʦʰɔː+ʥi,32,false,expert,,dʑ i,,,3
Jerigaon-327_namshupeople-1-1,Jerigaon-327_namshupeople-1,nə+ʨo+ʥi,33,false,expert,,n ə -,,,1
Jerigaon-327_namshupeople-1-2,Jerigaon-327_namshupeople-1,nə+ʨo+ʥi,31,false,expert,,tɕʰ o,,,2
Jerigaon-327_namshupeople-1-3,Jerigaon-327_namshupeople-1,nə+ʨo+ʥi,32,false,expert,,dʑ i,,,3
Rahung-327_namshupeople-1-1,Rahung-327_namshupeople-1,pʰ+ʨʰoː+ʥi,33,false,expert,,pʰ - -,,,1
Rahung-327_namshupeople-1-2,Rahung-327_namshupeople-1,pʰ+ʨʰoː+ʥi,31,false,expert,,tɕʰ oː,,,2
Rahung-327_namshupeople-1-3,Rahung-327_namshupeople-1,pʰ+ʨʰoː+ʥi,32,false,expert,,dʑ i,,,3
Khispi-376_puroik-1-1,Khispi-376_puroik-1,bi+ɕ+taŋ,15,false,expert,,b i,,,1
Khispi-376_puroik-1-2,Khispi-376_puroik-1,bi+ɕ+taŋ,38,false,expert,,ɕ,,,2
Khispi-376_puroik-1-3,Khispi-376_puroik-1,bi+ɕ+taŋ,35,false,expert,,t a ŋ,,,3
Duhumbi-376_puroik-1-1,Duhumbi-376_puroik-1,bi+s+taŋ,15,false,expert,,b i,,,1
Duhumbi-376_puroik-1-2,Duhumbi-376_puroik-1,bi+s+taŋ,38,false,expert,,s,,,2
Duhumbi-376_puroik-1-3,Duhumbi-376_puroik-1,bi+s+taŋ,35,false,expert,,t a ŋ,,,3
Khoina-376_puroik-1-1,Khoina-376_puroik-1,ɕ+taŋ,38,false,expert,,ɕ,,,1
Khoina-376_puroik-1-2,Khoina-376_puroik-1,ɕ+taŋ,35,false,expert,,t a ŋ,,,2
Rupa-376_puroik-1-1,Rupa-376_puroik-1,s+taŋ,38,false,expert,,s,,,1
Rupa-376_puroik-1-2,Rupa-376_puroik-1,s+taŋ,35,false,expert,,t a ŋ,,,2
Khispi-384_rahungpeopleof-1-1,Khispi-384_rahungpeopleof-1,la+pʰuŋ+bi,41,false,expert,,l a,,,1
Khispi-384_rahungpeopleof-1-2,Khispi-384_rahungpeopleof-1,la+pʰuŋ+bi,40,false,expert,,pʰ u ŋ,,,2
Khispi-384_rahungpeopleof-1-3,Khispi-384_rahungpeopleof-1,la+pʰuŋ+bi,18,false,expert,,b i,,,3
Khoina-384_rahungpeopleof-1-1,Khoina-384_rahungpeopleof-1,rə+pʰiŋ+ʥi,41,false,expert,,r ə,,,1
Khoina-384_rahungpeopleof-1-2,Khoina-384_rahungpeopleof-1,rə+pʰiŋ+ʥi,40,false,expert,,pʰ i ŋ,,,2
Khoina-384_rahungpeopleof-1-3,Khoina-384_rahungpeopleof-1,rə+pʰiŋ+ʥi,18,false,expert,,dʑ i,,,3
Jerigaon-384_rahungpeopleof-1-1,Jerigaon-384_rahungpeopleof-1,rə+pʰiŋ+ʥi,41,false,expert,,r ə,,,1
Jerigaon-384_rahungpeopleof-1-2,Jerigaon-384_rahungpeopleof-1,rə+pʰiŋ+ʥi,40,false,expert,,pʰ i ŋ,,,2
Jerigaon-384_rahungpeopleof-1-3,Jerigaon-384_rahungpeopleof-1,rə+pʰiŋ+ʥi,18,false,expert,,dʑ i,,,3
Rupa-384_rahungpeopleof-1-1,Rupa-384_rahungpeopleof-1,rə+pʰyŋ+ʥi,41,false,expert,,r ə,,,1
Rupa-384_rahungpeopleof-1-2,Rupa-384_rahungpeopleof-1,rə+pʰyŋ+ʥi,40,false,expert,,pʰ y ŋ,,,2
Rupa-384_rahungpeopleof-1-3,Rupa-384_rahungpeopleof-1,rə+pʰyŋ+ʥi,18,false,expert,,dʑ i,,,3
Shergaon-384_rahungpeopleof-1-1,Shergaon-384_rahungpeopleof-1,ru+pʰuŋ+ʥi,41,false,expert,,r u,,,1
Shergaon-384_rahungpeopleof-1-2,Shergaon-384_rahungpeopleof-1,ru+pʰuŋ+ʥi,40,false,expert,,pʰ u ŋ,,,2
Shergaon-384_rahungpeopleof-1-3,Shergaon-384_rahungpeopleof-1,ru+pʰuŋ+ʥi,18,false,expert,,dʑ i,,,3
Khoina-425_sherdukpen-1-1,Khoina-425_sherdukpen-1,tʰɔː+mø+ʥi,44,false,expert,,tʰ ɔː -,,,1
Khoina-425_sherdukpen-1-2,Khoina-425_sherdukpen-1,tʰɔː+mø+ʥi,43,false,expert,,m ø,,,2
Khoina-425_sherdukpen-1-3,Khoina-425_sherdukpen-1,tʰɔː+mø+ʥi,18,false,expert,,dʑ i,,,3
Jerigaon-425_sherdukpen-1-1,Jerigaon-425_sherdukpen-1,tʰɔ̃ŋ+ʥi,44,false,expert,,tʰ ɔ̃ ŋ,,,1
Jerigaon-425_sherdukpen-1-2,Jerigaon-425_sherdukpen-1,tʰɔ̃ŋ+ʥi,18,false,expert,,dʑ i,,,2
Rahung-425_sherdukpen-1-1,Rahung-425_sherdukpen-1,tʰə+mø+ʥi,44,false,expert,,tʰ ə -,,,1
Rahung-425_sherdukpen-1-2,Rahung-425_sherdukpen-1,tʰə+mø+ʥi,43,false,expert,,m ø,,,2
Rahung-425_sherdukpen-1-3,Rahung-425_sherdukpen-1,tʰə+mø+ʥi,18,false,expert,,dʑ i,,,3
Rupa-425_sherdukpen-1-1,Rupa-425_sherdukpen-1,møˀ,43,false,expert,,m øˀ,,,1
Shergaon-425_sherdukpen-1-1,Shergaon-425_sherdukpen-1,meˀ,43,false,expert,,m eˀ,,,1
Khispi-425_sherdukpen-1-1,Khispi-425_sherdukpen-1,ɕɛl+tuk+pɛn,10418,false,expert,,ɕ ɛ l,,,1
Khispi-425_sherdukpen-1-2,Khispi-425_sherdukpen-1,ɕɛl+tuk+pɛn,10419,false,expert,,t u k,,,2
Khispi-425_sherdukpen-1-3,Khispi-425_sherdukpen-1,ɕɛl+tuk+pɛn,10420,false,expert,,p ɛ n,,,3
Duhumbi-425_sherdukpen-1-1,Duhumbi-425_sherdukpen-1,ɕɛr+tuk+pɛn,10421,false,expert,,ɕ ɛ r,,,1
Duhumbi-425_sherdukpen-1-2,Duhumbi-425_sherdukpen-1,ɕɛr+tuk+pɛn,10422,false,expert,,t u k,,,2
Duhumbi-425_sherdukpen-1-3,Duhumbi-425_sherdukpen-1,ɕɛr+tuk+pɛn,10423,false,expert,,p ɛ n,,,3
Jerigaon-425_sherdukpen-2-1,Jerigaon-425_sherdukpen-2,tʰu+wã+ʥi,10424,false,expert,,tʰ u,,,1
Jerigaon-425_sherdukpen-2-2,Jerigaon-425_sherdukpen-2,tʰu+wã+ʥi,10425,false,expert,,w ã,,,2
Jerigaon-425_sherdukpen-2-3,Jerigaon-425_sherdukpen-2,tʰu+wã+ʥi,10426,false,expert,,ʥ i,,,3
Khispi-425_sherdukpen-2-1,Khispi-425_sherdukpen-2,ɕɛl+tuk+pɛn,11128,false,expert,,ɕ ɛ l,,,1
Khispi-425_sherdukpen-2-2,Khispi-425_sherdukpen-2,ɕɛl+tuk+pɛn,11129,false,expert,,t u k,,,2
Khispi-425_sherdukpen-2-3,Khispi-425_sherdukpen-2,ɕɛl+tuk+pɛn,11130,false,expert,,p ɛ n,,,3
Duhumbi-425_sherdukpen-2-1,Duhumbi-425_sherdukpen-2,ɕɛr+tuk+pɛn,11131,false,expert,,ɕ ɛ r,,,1
Duhumbi-425_sherdukpen-2-2,Duhumbi-425_sherdukpen-2,ɕɛr+tuk+pɛn,11132,false,expert,,t u k,,,2
Duhumbi-425_sherdukpen-2-3,Duhumbi-425_sherdukpen-2,ɕɛr+tuk+pɛn,11133,false,expert,,p ɛ n,,,3
Jerigaon-425_sherdukpen-3-1,Jerigaon-425_sherdukpen-3,tʰu+wã+ʥi,11134,false,expert,,tʰ u,,,1
Jerigaon-425_sherdukpen-3-2,Jerigaon-425_sherdukpen-3,tʰu+wã+ʥi,11135,false,expert,,w ã,,,2
Jerigaon-425_sherdukpen-3-3,Jerigaon-425_sherdukpen-3,tʰu+wã+ʥi,11136,false,expert,,ʥ i,,,3
Khispi-426_shergaonpeopleof-1-1,Khispi-426_shergaonpeopleof-1,ɕɛl+pi,47,false,expert,,ɕ ɛ l,,,1
Khispi-426_shergaonpeopleof-1-2,Khispi-426_shergaonpeopleof-1,ɕɛl+pi,48,false,expert,,p i,,,2
Khoina-426_shergaonpeopleof-1-1,Khoina-426_shergaonpeopleof-1,ʂɛ̃ː+ʥi,47,false,expert,,ʂ ɛ̃ː (n)/n,,,1
Khoina-426_shergaonpeopleof-1-2,Khoina-426_shergaonpeopleof-1,ʂɛ̃ː+ʥi,48,false,expert,,dʑ i,,,2
Jerigaon-426_shergaonpeopleof-1-1,Jerigaon-426_shergaonpeopleof-1,sɛ̃ː+ʥi,47,false,expert,,s ɛ̃ː (n)/n,,,1
Jerigaon-426_shergaonpeopleof-1-2,Jerigaon-426_shergaonpeopleof-1,sɛ̃ː+ʥi,48,false,expert,,dʑ i,,,2
Rahung-426_shergaonpeopleof-1-1,Rahung-426_shergaonpeopleof-1,sɛ̃ː+ʥi,47,false,expert,,s ɛ̃ː (n)/n,,,1
Rahung-426_shergaonpeopleof-1-2,Rahung-426_shergaonpeopleof-1,sɛ̃ː+ʥi,48,false,expert,,dʑ i,,,2
Rupa-426_shergaonpeopleof-1-1,Rupa-426_shergaonpeopleof-1,sɛ̃ː+ʥi,47,false,expert,,s ɛ̃ː (n)/n,,,1
Rupa-426_shergaonpeopleof-1-2,Rupa-426_shergaonpeopleof-1,sɛ̃ː+ʥi,48,false,expert,,dʑ i,,,2
Khispi-426_shergaonpeopleof-2-1,Khispi-426_shergaonpeopleof-2,ɕɛl+pi,10436,false,expert,,ɕ ɛ l,,,1
Khispi-426_shergaonpeopleof-2-2,Khispi-426_shergaonpeopleof-2,ɕɛl+pi,10437,false,expert,,p i,,,2
Khispi-426_shergaonpeopleof-3-1,Khispi-426_shergaonpeopleof-3,ɕɛl+pi,11146,false,expert,,ɕ ɛ l,,,1
Khispi-426_shergaonpeopleof-3-2,Khispi-426_shergaonpeopleof-3,ɕɛl+pi,11147,false,expert,,p i,,,2
Khispi-499_thembangpeople-1-1,Khispi-499_thembangpeople-1,tʰje+maŋ+bi,50,false,expert,,tʰ j e -,,,1
Khispi-499_thembangpeople-1-2,Khispi-499_thembangpeople-1,tʰje+maŋ+bi,51,false,expert,,m a ŋ,,,2
